Commmon Name,Scientific name,Population,Taxon,Range,COSEWIC status,On Schedule 1 (Yes/No)?,SARA status,Action plan (Y/N/Proposed),Year,Multispecies?,Cost (per year),Number of species,Recovery measure,Action,RM,Both,Priority,Status and timeline,Partners,Terrestrial,Aquatic ,Threat or objective addressed,Multispecies Quality Control
Victorin's Gentian,Gentianopsis virgata ssp. victorinii,,Vascular Plants,Quebec,Threatened,Yes,Special Concern,Y,2014,N,192400,1,Determine whether the 14 priority occurrences can be managed to make them sufficiently productive to maintain or increase the species’ overall population and area of occupancy,,1,,Medium,2014-2019,0,1,0,12,1
Victorin's Gentian,Gentianopsis virgata ssp. victorinii,,Vascular Plants,Quebec,Threatened,Yes,Special Concern,Y,2014,N,192400,1,"Determine whether the species is a seed bank and, if so, determine its longevity",,1,,Medium,2014-2019,0,1,0,12,1
Victorin's Gentian,Gentianopsis virgata ssp. victorinii,,Vascular Plants,Quebec,Threatened,Yes,Special Concern,Y,2014,N,192400,1,Develop a quick method for estimating the number of individuals in an occurrence,,1,,High,2014,0,1,0,12,1
Victorin's Gentian,Gentianopsis virgata ssp. victorinii,,Vascular Plants,Quebec,Threatened,Yes,Special Concern,Y,2014,N,192400,1,Develop and implement a research program to provide a better understanding of the impact of major threats to the survival of the species,,1,,Medium,2014-2019,0,1,0,All,1
Victorin's Gentian,Gentianopsis virgata ssp. victorinii,,Vascular Plants,Quebec,Threatened,Yes,Special Concern,Y,2014,N,192400,1,Eliminate practices inconsistent with maintaining the species and its habitat,1,,,High,2014-2019,0,1,0,All except 5 – 6 – 7,1
Victorin's Gentian,Gentianopsis virgata ssp. victorinii,,Vascular Plants,Quebec,Threatened,Yes,Special Concern,Y,2014,N,192400,1,"Encourage exchanges between stakeholders (scientists, recovery groups and implementation groups, NGOs, levels of government, the general public, and private landowners) through yearly meetings, presentations to partners, information sessions for citizens, etc.",,,1,High,2014-2019,0,1,0,All,1
Victorin's Gentian,Gentianopsis virgata ssp. victorinii,,Vascular Plants,Quebec,Threatened,Yes,Special Concern,Y,2014,N,192400,1,"Encourage support from the general public and land-management decision-makers (municipalities, regional county municipalities (RCMs), regional conferences of elected officials, etc.) through various initiatives such as conducting project pre-feasibility studies and focusing on promoting compliance with laws, regulations and policies",1,,,High,2014-2019,0,1,0,All,1
Victorin's Gentian,Gentianopsis virgata ssp. victorinii,,Vascular Plants,Quebec,Threatened,Yes,Special Concern,Y,2014,N,192400,1,Expand the monitoring of occurrences initiated in 2008 to other occurrences,,1,,Medium,2014-2019,0,1,0,12,1
Victorin's Gentian,Gentianopsis virgata ssp. victorinii,,Vascular Plants,Quebec,Threatened,Yes,Special Concern,Y,2014,N,192400,1,Explore approaches for increasing populations,,1,,Medium,2014-2019,0,1,0,12,1
Victorin's Gentian,Gentianopsis virgata ssp. victorinii,,Vascular Plants,Quebec,Threatened,Yes,Special Concern,Y,2014,N,192400,1,"Improve mapping and signage (e.g., placards) at occurrences with conservation/protection status",1,,,Medium,2014-2019,0,1,0,"2, 4",1
Victorin's Gentian,Gentianopsis virgata ssp. victorinii,,Vascular Plants,Quebec,Threatened,Yes,Special Concern,Y,2014,N,192400,1,Regularly check whether the species is present or absent in suitable habitat that is not currently colonized,,1,,Low,2014-2019,0,1,0,12,1
Victorin's Gentian,Gentianopsis virgata ssp. victorinii,,Vascular Plants,Quebec,Threatened,Yes,Special Concern,Y,2014,N,192400,1,Restore habitat where technically feasible,1,,,Low,2014-2019,0,1,0,All except 6,1
Victorin's Gentian,Gentianopsis virgata ssp. victorinii,,Vascular Plants,Quebec,Threatened,Yes,Special Concern,Y,2014,N,192400,1,"Take into account the presence of the species and its suitable habitat when conducting environmental assessments of projects (including repairing retaining walls), or before adopting mitigation or compensatory measures",,1,,High,2014-2019,0,1,0,All except 5 – 6 – 7,1
Victorin's Water-hemlock,Cicuta maculata  var. victorinii,,Vascular Plants,Quebec,Special Concern,Schedule 1,Special Concern,N,,,,,,,,,,,,,,,
Virginia Goat's-rue,Tephrosia virginiana,,Vascular Plants,Ontario,Endangered,Schedule 1,Special Concern,N,,,,,,,,,,,,,,,
Virginia Mallow,Sida hermaphrodita,,Vascular Plants,Ontario,Endangered,Schedule 1,Special Concern,N,,,,,,,,,,,,,,,
Vivid Dancer,Argia vivida,,Arthropods,"British Columbia, Alberta",Special Concern,Schedule 1,Special Concern,N,,,,,,,,,,,,,,,
Vole Ears Lichen,Erioderma mollissimum,,Lichens,"New Brunswick, Nova Scotia, Newfoundland and Labrador",Endangered,Yes,Special Concern,Y,2018,Y,1000000,2,"Collaborate with researchers working with the cyanolichens to address the following knowledge gaps relevant to the survival and recovery of the species: their life cycle, growth rates, habitat dynamics, genetic diversity, minimum viable population size, sensitivity to specific pollutants and acid deposition, sensitivity to specific forestry practices.",,1,,Medium,2021,0,1,0,Knowledge gaps,1
Vole Ears Lichen,Erioderma mollissimum,,Lichens,"New Brunswick, Nova Scotia, Newfoundland and Labrador",Endangered,Yes,Special Concern,Y,2018,Y,1000000,2,Conduct a detailed assessment and review of land tenure for all locations where critical habitat is identified,,1,,High ,2015-2078,0,1,0,"All except D.2, E.1, and F.63",1
Vole Ears Lichen,Erioderma mollissimum,,Lichens,"New Brunswick, Nova Scotia, Newfoundland and Labrador",Endangered,Yes,Special Concern,Y,2018,Y,1000000,2,Conduct a detailed assessment and review of land tenure for all locations where critical habitat is identified,,1,,High ,2015-2079,0,1,0,"All except D.2, E.1, and F.64",1
Vole Ears Lichen,Erioderma mollissimum,,Lichens,"New Brunswick, Nova Scotia, Newfoundland and Labrador",Endangered,Yes,Special Concern,Y,2018,Y,1000000,2,Consult the National Pollutant Release Inventory to identify point sources of important pollutants and assess whether location and survival of lichens are affected.,,1,,Medium,2018,0,1,0,Air-borne pollutants,1
Vole Ears Lichen,Erioderma mollissimum,,Lichens,"New Brunswick, Nova Scotia, Newfoundland and Labrador",Endangered,Yes,Special Concern,Y,2018,Y,1000000,2,Contact stakeholders regarding the significance and requirements of Boreal Felt Lichen and Vole Ears Lichen and share BMPs (NL) and SMPs (NS) to conserve the species.,1,,,High ,as new stakeholders are identified,0,1,0,"Logging & wood harvesting, Roads & railroads, and Housing & urban areas",1
Vole Ears Lichen,Erioderma mollissimum,,Lichens,"New Brunswick, Nova Scotia, Newfoundland and Labrador",Endangered,Yes,Special Concern,Y,2018,Y,1000000,2,Develop an outreach plan for engaging Forest managers and private woodlot owners on “lichens at risk” .,1,,,Medium,2021,0,1,0,Logging & wood harvesting and Roads & railroads,1
Vole Ears Lichen,Erioderma mollissimum,,Lichens,"New Brunswick, Nova Scotia, Newfoundland and Labrador",Endangered,Yes,Special Concern,Y,2018,Y,1000000,2,Develop stewardship agreements with landowners where possible.,1,,,High ,2019,0,1,0,"Logging & wood harvesting, Roads & railroads, and Housing & urban areas",1
Vole Ears Lichen,Erioderma mollissimum,,Lichens,"New Brunswick, Nova Scotia, Newfoundland and Labrador",Endangered,Yes,Special Concern,Y,2018,Y,1000000,2,"During surveys and inventory work, identify any potential infractions and engage enforcement branches when necessary.",,,1,Medium,ongoing,0,1,0,"Logging & wood harvesting, Roads & railroads, and Housing & urban areas",1
Vole Ears Lichen,Erioderma mollissimum,,Lichens,"New Brunswick, Nova Scotia, Newfoundland and Labrador",Endangered,Yes,Special Concern,Y,2018,Y,1000000,2,Engage private landowners of priority sites to conserve lichens.,1,,,High ,2021,0,1,0,"Logging & wood harvesting, Roads & railroads, and Housing & urban areas",1
Vole Ears Lichen,Erioderma mollissimum,,Lichens,"New Brunswick, Nova Scotia, Newfoundland and Labrador",Endangered,Yes,Special Concern,Y,2018,Y,1000000,2,Ensure Vole Ears Lichen in maintained on Crown Land in Nova Scotia (NS) through implementation of 'Special Management Practices'.,1,,,High ,2019,0,1,0,Logging & wood harvesting,1
Vole Ears Lichen,Erioderma mollissimum,,Lichens,"New Brunswick, Nova Scotia, Newfoundland and Labrador",Endangered,Yes,Special Concern,Y,2018,Y,1000000,2,Evaluate efficacy of private sector certifications in the conservation of cyanolichens at risk. Determine gaps in current certifications and work with certifiers to fill gaps.,,,1,Medium,2018,0,1,0,Logging & wood harvesting and Roads & railroads,1
Vole Ears Lichen,Erioderma mollissimum,,Lichens,"New Brunswick, Nova Scotia, Newfoundland and Labrador",Endangered,Yes,Special Concern,Y,2018,Y,1000000,2,"Evaluate existing education materials, revise and reprint as needed.",,,1,Medium,completed 2008,0,1,0,All,1
Vole Ears Lichen,Erioderma mollissimum,,Lichens,"New Brunswick, Nova Scotia, Newfoundland and Labrador",Endangered,Yes,Special Concern,Y,2018,Y,1000000,2,Identify existing or planned land uses that could negatively impact Boreal Felt Lichen or Vole Ears Lichen sites. Implement relevant recovery measures to address threats.,,,1,High ,"2018 (NS)
 as identified (NL)",0,1,0,"Logging & wood harvesting, Roads & railroads, and Housing & urban areas",1
Vole Ears Lichen,Erioderma mollissimum,,Lichens,"New Brunswick, Nova Scotia, Newfoundland and Labrador",Endangered,Yes,Special Concern,Y,2018,Y,1000000,2,Inform interested landowners regarding formal habitat conservation options.,1,,,High ,2019,0,1,0,"Logging & wood harvesting, Roads & railroads, and Housing & urban areas",1
Vole Ears Lichen,Erioderma mollissimum,,Lichens,"New Brunswick, Nova Scotia, Newfoundland and Labrador",Endangered,Yes,Special Concern,Y,2018,Y,1000000,2,Inventory new sites identified by the habitat suitability model.,1,,,High ,ongoing,0,1,0,Monitoring,1
Vole Ears Lichen,Erioderma mollissimum,,Lichens,"New Brunswick, Nova Scotia, Newfoundland and Labrador",Endangered,Yes,Special Concern,Y,2018,Y,1000000,2,Investigate extent of forest certification in Eastern Canada and promote the use of third-party certified sustainable forest management certification standards where appropriate.,,,1,Low,2020,0,1,0,Logging & wood harvesting and Roads & railroads,1
Vole Ears Lichen,Erioderma mollissimum,,Lichens,"New Brunswick, Nova Scotia, Newfoundland and Labrador",Endangered,Yes,Special Concern,Y,2018,Y,1000000,2,Provide identification workshops for interested individuals and organizations.,1,,,Medium,"completed in 2008, 2009; thereafter as needed",0,1,0,All,1
Vole Ears Lichen,Erioderma mollissimum,,Lichens,"New Brunswick, Nova Scotia, Newfoundland and Labrador",Endangered,Yes,Special Concern,Y,2018,Y,1000000,2,"Publish a website for the dissemination of information on the biology and conservation of Boreal Felt Lichen, Vole Ears Lichen, and other rare cyanolichens.",1,,,Medium,"Boreal Felt Lichen: completed 2007; revise as needed
 Vole Ears Lichen: 2017",0,1,0,All,1
Vole Ears Lichen,Erioderma mollissimum,,Lichens,"New Brunswick, Nova Scotia, Newfoundland and Labrador",Endangered,Yes,Special Concern,Y,2018,Y,1000000,2,Quantify extent of the regeneration problem and encourage multi-stakeholder collaboration.,,,1,Medium,ongoing,0,1,0,Invasive non-native/alien species/diseases and problematic native species,1
Vole Ears Lichen,Erioderma mollissimum,,Lichens,"New Brunswick, Nova Scotia, Newfoundland and Labrador",Endangered,Yes,Special Concern,Y,2018,Y,1000000,2,"Refine methodology developed for transplanting Boreal Felt Lichen, Boreal population (2014) and implement protocol at sites where the lichen will be lost due to immitigable anthropogenic circumstances.",,,1,Low,if deemed necessary,0,1,0,All,1
Vole Ears Lichen,Erioderma mollissimum,,Lichens,"New Brunswick, Nova Scotia, Newfoundland and Labrador",Endangered,Yes,Special Concern,Y,2018,Y,1000000,2,"Research collars, tapes, and traps to ensure that cyanolichens are not negatively impacted by their use and implement where feasible.",,1,,Low,2018,0,1,0,Invasive non-native/alien species/diseases and problematic native species,1
Vole Ears Lichen,Erioderma mollissimum,,Lichens,"New Brunswick, Nova Scotia, Newfoundland and Labrador",Endangered,Yes,Special Concern,Y,2018,Y,1000000,2,"Track habitat conditions (e.g., forest composition, forest age structure, presence of indicator species).",,1,,High,ongoing,0,1,0,Monitoring,1
Vole Ears Lichen,Erioderma mollissimum,,Lichens,"New Brunswick, Nova Scotia, Newfoundland and Labrador",Endangered,Yes,Special Concern,Y,2018,Y,1000000,2,"Track site size and vigour (e.g., condition, health, presence of disease or herbivory) of individuals.",,1,,High ,ongoing,0,1,0,Monitoring,1
Vole Ears Lichen,Erioderma mollissimum,,Lichens,"New Brunswick, Nova Scotia, Newfoundland and Labrador",Endangered,Yes,Special Concern,Y,2018,Y,1000000,2,"Track threats (e.g., Logging and wood harvesting, roads, gastropod grazing).",,1,,High ,ongoing,0,1,0,Monitoring,1
Wallis' Dark Saltflat Tiger Beetle,Cicindela parowana  wallisi,,Arthropods,British Columbia,Endangered,Schedule 1,Special Concern,N,,,,,,,,,,,,,,,
Wandering Salamander,Aneides vagrans,,Amphibians,British Columbia,Special Concern,Schedule 1,Special Concern,N,,,,,,,,,,,,,,,
Warmouth,Lepomis gulosus,,Fishes (freshwater),Ontario,Endangered,Schedule 1,Special Concern,Y,2016,Y,0,66,Inclusion of Indigenous Traditional Know ledge: Engage the Caldw ell First Nation and the Walpole Island First Nation to collaboratively develop and implement methods to meaningfully incorporate ATK into management practices for SAR at PPNP and NNHS.,0,0,1,0,Ongoing,0,0,1,"Inclusion of Traditional Ecological Know ledge To better inform assessment, monitoring, and recovery of the ecosystems that support species at risk.",1
Warmouth,Lepomis gulosus,,Fishes (freshwater),Ontario,Endangered,Schedule 1,Special Concern,Y,2016,Y,0,66,Invasive Species Management Plan: Produce and implement invasive species management plan for PPNP to target priority species that would alter species at risk habitat.,0,0,1,0,2021,0,0,1,Threat of invasive species,1
Warmouth,Lepomis gulosus,,Fishes (freshwater),Ontario,Endangered,Schedule 1,Special Concern,Y,2016,Y,0,66,"PPNP Marsh Management Plan: Address major threats (hydrology, w ater quality, invasive plants and w ildlife, lack of interspersion) and assess potential for re-introduction of Spotted Turtle.",0,1,0,0,2021,0,0,1,"Threat of degradation of w etlands through loss of w ater quality, nutrient and sediment loading and exotic/invasive plants",1
Warty Jumping-slug,Hemphillia glandulosa,,Molluscs,British Columbia,Special Concern,Yes,Special Concern,Y,2017,Y,0,37,Awareness and compliance with regulations: warden patrols and boat checks.,1,,,0,Ongoing,0,0,1,"Disturbance to killer whales (FOC 2011).
 Disturbance to Sea Lions when on terrestrial habitat (FOC 2010).
 Illegal Harvest of Northern Abalone (FOC 2007).",1
Warty Jumping-slug,Hemphillia glandulosa,,Molluscs,British Columbia,Special Concern,Yes,Special Concern,Y,2017,Y,0,37,Develop & implement media strategy.,,,1,0,Ongoing,0,0,1,Public awareness of and support of participation in recovery.,1
Warty Jumping-slug,Hemphillia glandulosa,,Molluscs,British Columbia,Special Concern,Yes,Special Concern,Y,2017,Y,0,37,"Habitat Conservation: maintain dune habitat by removing European dune grass, tree islands, and beach logs from dunes.",1,,,0,Ongoing,0,0,1,"Habitat loss and degradation (e.g., dune stabilization and invasive species) (Fairbarns et al.2007, COSEWIC 2009, Environment Canada 2012, COSEWIC 2013).",1
Warty Jumping-slug,Hemphillia glandulosa,,Molluscs,British Columbia,Special Concern,Yes,Special Concern,Y,2017,Y,0,37,Incorporate species at risk monitoring and recovery into visitor opportunities.,,,1,0,Ongoing,0,0,1,Public awareness of and support of participation in recovery.,1
Warty Jumping-slug,Hemphillia glandulosa,,Molluscs,British Columbia,Special Concern,Yes,Special Concern,Y,2017,Y,0,37,Monitoring: Monitor European Green Crab at Joe's Bay.,,1,,0,Annual,0,0,1,Introduction of non-indigenous predators and parasites (FOC 2009).,0
Warty Jumping-slug,Hemphillia glandulosa,,Molluscs,British Columbia,Special Concern,Yes,Special Concern,Y,2017,Y,0,37,Visitor awareness: provide visitors with information regarding species protection.,1,,,0,Annual,0,0,1,"Habitat loss and degradation (NRTHS 2007).
 Epidemic disease, introduced species, pollutants, habitat loss (COSEWIC 2004, 2002).
 This activity will also benefit other species such as Edwards’ Beach Moth, Sand-verbena Moth, Silky Beach Pea, Yellow Sand-verbena, marine mammals, Marbled Murrelet, and Olympia Oyster.",1
Water Pennywort,Hydrocotyle umbellata,,Vascular Plants,Nova Scotia,Special Concern,Yes,Special Concern,Y,2018,Y,1000000,5,Assess the importance of rivers in terms of population distribution and dispersal within the watershed,,1,,High ,2020,0,1,0,"1, 3",1
Water Pennywort,Hydrocotyle umbellata,,Vascular Plants,Nova Scotia,Special Concern,Yes,Special Concern,Y,2018,Y,1000000,5,Assist in the targeting of land securement for priority ACPF habitats and provide support for the establishment of a permanent funding mechanism for private land securement in NS,1,,,Medium,,0,1,0,2015-2020,1
Water Pennywort,Hydrocotyle umbellata,,Vascular Plants,Nova Scotia,Special Concern,Yes,Special Concern,Y,2018,Y,1000000,5,Conduct a detailed assessment and review of land tenure for all locations where critical habitat is identified,,1,,High ,2015-2016,0,1,0,"All except D.2, E.1, and F.1",1
Water Pennywort,Hydrocotyle umbellata,,Vascular Plants,Nova Scotia,Special Concern,Yes,Special Concern,Y,2018,Y,1000000,5,Conduct a detailed assessment and review of land tenure for all locations where critical habitat is identified,,1,,High ,2015-2017,0,1,0,"All except D.2, E.1, and F.2",1
Water Pennywort,Hydrocotyle umbellata,,Vascular Plants,Nova Scotia,Special Concern,Yes,Special Concern,Y,2018,Y,1000000,5,Conduct biological and ecological research required to address knowledge gaps,,1,,High ,,0,1,0,,1
Water Pennywort,Hydrocotyle umbellata,,Vascular Plants,Nova Scotia,Special Concern,Yes,Special Concern,Y,2018,Y,1000000,5,"Conduct inventories necessary to ensure adequate baseline data on population abundance and distribution, habitats (availability and suitability), and threats exist for all High priority locations",,1,,High ,2015-2016,0,1,0,All current threats,1
Water Pennywort,Hydrocotyle umbellata,,Vascular Plants,Nova Scotia,Special Concern,Yes,Special Concern,Y,2018,Y,1000000,5,"Conduct regular monitoring of population abundance and distribution at all High priority locations, using methods established within the monitoring program and assess data to determine status and trends and produce maps of occupied and suitable habitat",,1,,High ,,0,1,0,Ongoing,1
Water Pennywort,Hydrocotyle umbellata,,Vascular Plants,Nova Scotia,Special Concern,Yes,Special Concern,Y,2018,Y,1000000,5,Conduct targeted surveys for High priority species identified as likely to be more widely present than currently documented,,1,,Low,2015-2020,0,1,0,All current threats,1
Water Pennywort,Hydrocotyle umbellata,,Vascular Plants,Nova Scotia,Special Concern,Yes,Special Concern,Y,2018,Y,1000000,5,Conduct targeted surveys of areas with suitable habitat for the Undetermined ranked (or data-deficient) species,,1,,Low,,0,1,0,2018-2020,1
Water Pennywort,Hydrocotyle umbellata,,Vascular Plants,Nova Scotia,Special Concern,Yes,Special Concern,Y,2018,Y,1000000,5,Consider and integrate the watershed scale and the importance of maintaining ecological function into the habitat conservation and protection plan,,1,,High ,,0,1,0,2016-2020,1
Water Pennywort,Hydrocotyle umbellata,,Vascular Plants,Nova Scotia,Special Concern,Yes,Special Concern,Y,2018,Y,1000000,5,Consider and integrate the watershed scale and the importance of maintaining ecological function into the habitat conservation and protection plan,,,1,High ,,0,1,0,2016-2021,1
Water Pennywort,Hydrocotyle umbellata,,Vascular Plants,Nova Scotia,Special Concern,Yes,Special Concern,Y,2018,Y,1000000,5,Continue establishing informal stewardship agreements with landowners and evaluate their effectiveness in securing the long-term protection of species and habitats,1,,,High ,All except F.1,0,1,0,"5, 6",1
Water Pennywort,Hydrocotyle umbellata,,Vascular Plants,Nova Scotia,Special Concern,Yes,Special Concern,Y,2018,Y,1000000,5,Continue regular monitoring of alien invasive speciesin order to facilitate early intervention of potential problems,,1,,Medium,1,0,1,0,,1
Water Pennywort,Hydrocotyle umbellata,,Vascular Plants,Nova Scotia,Special Concern,Yes,Special Concern,Y,2018,Y,1000000,5,"Continue to build relationships with landowners already contacted and expand initial landowner contact, to include High priority locations which have not yet been targeted and priority sites already targeted where landownership has changed",1,,,High ,"All except A. 11; D.2; E.1, and F.1",0,1,0,"1, 2, 3, 6",1
Water Pennywort,Hydrocotyle umbellata,,Vascular Plants,Nova Scotia,Special Concern,Yes,Special Concern,Y,2018,Y,1000000,5,"Continue to coordinate and integrate monitoring programs and coordinate monitoring efforts between volunteer monitoring programs and academic, industry, and government research",,1,,Medium,,0,1,0,Ongoing,1
Water Pennywort,Hydrocotyle umbellata,,Vascular Plants,Nova Scotia,Special Concern,Yes,Special Concern,Y,2018,Y,1000000,5,"Continue to implement a two tier, phased and/or pulsed, approach for all stewardship initiatives: I. Broadcast stewardship targeting everyone (i.e. all cottage associations) and II. Directed stewardship which targets specific audiences (i.e. landowners with ACPF on their shoreline or dedicated youth within the community)",1,,,High ,,0,1,0,Ongoing,1
Water Pennywort,Hydrocotyle umbellata,,Vascular Plants,Nova Scotia,Special Concern,Yes,Special Concern,Y,2018,Y,1000000,5,Continue to implement strategic plan for inventory work or monitoring at high priority locations,,1,,High ,Ongoing,0,1,0,All current threats,1
Water Pennywort,Hydrocotyle umbellata,,Vascular Plants,Nova Scotia,Special Concern,Yes,Special Concern,Y,2018,Y,1000000,5,"Continue to recruit and train volunteers in the monitoring of threats at High priority locations using established threat monitoring protocols, including collection of photo data of lakeshores, landuse activities, and water quality",,,1,High ,"A. 1-10, 12-13; B. 1-6; C. 1-3; D. 1-2",0,1,0,"1, 2, 3, 6",1
Water Pennywort,Hydrocotyle umbellata,,Vascular Plants,Nova Scotia,Special Concern,Yes,Special Concern,Y,2018,Y,1000000,5,Coordinate and collaborate with other stewardship initiatives on species at risk that are ongoing within SW NS and continue to build financial support for stewardship work in SW NS,1,,,High ,Ongoing,0,1,0,All current threats,1
Water Pennywort,Hydrocotyle umbellata,,Vascular Plants,Nova Scotia,Special Concern,Yes,Special Concern,Y,2018,Y,1000000,5,Coordinate stewardship initiatives and use key messages common to all target audiences [See also Actions under Objective 6],1,,,Medium,,0,1,0,Ongoing,1
Water Pennywort,Hydrocotyle umbellata,,Vascular Plants,Nova Scotia,Special Concern,Yes,Special Concern,Y,2018,Y,1000000,5,"Determine the extent of threats and the pathways through which they are impacting species and habitats, particularly for high priority threats and threats where severity is unknown or causal certainty is low",,1,,High ,2015-2020,0,1,0,2,1
Water Pennywort,Hydrocotyle umbellata,,Vascular Plants,Nova Scotia,Special Concern,Yes,Special Concern,Y,2018,Y,1000000,5,Develop a gene and seed bank as tools in support of long-term conservation and recovery planning,,1,,Low,2020,0,1,0,"1, 7",1
Water Pennywort,Hydrocotyle umbellata,,Vascular Plants,Nova Scotia,Special Concern,Yes,Special Concern,Y,2018,Y,1000000,5,Develop a method for assessing and monitoring the cumulative effectsof threats at each priority location and within the watershed as it pertains to ecological function,,1,,Low,"1,4",0,1,0,,1
Water Pennywort,Hydrocotyle umbellata,,Vascular Plants,Nova Scotia,Special Concern,Yes,Special Concern,Y,2018,Y,1000000,5,Develop and implement a process to monitor the cost-effectiveness of various protection approaches,,1,,High ,2015-2020,0,1,0,All current threats,1
Water Pennywort,Hydrocotyle umbellata,,Vascular Plants,Nova Scotia,Special Concern,Yes,Special Concern,Y,2018,Y,1000000,5,Develop and implement a process to monitor the cost-effectiveness of various protection approaches,,1,,High ,2015-2021,0,1,0,All current threats,1
Water Pennywort,Hydrocotyle umbellata,,Vascular Plants,Nova Scotia,Special Concern,Yes,Special Concern,Y,2018,Y,1000000,5,"Develop and implement a simple and streamlined processes to flag provincial and municipal decisions at high priority locations for permitting, licensing, and regulation of human activities that are a high priority threat to ACPF",,,1,Medium,,0,1,0,2015-2020,1
Water Pennywort,Hydrocotyle umbellata,,Vascular Plants,Nova Scotia,Special Concern,Yes,Special Concern,Y,2018,Y,1000000,5,"Develop and implement reporting protocols to track threats such as: number of permits for wharves, infilling, septic, sub-divisions, and use this information to direct adaptive management approaches",,1,,High ,,0,1,0,2015-2020,1
Water Pennywort,Hydrocotyle umbellata,,Vascular Plants,Nova Scotia,Special Concern,Yes,Special Concern,Y,2018,Y,1000000,5,Encourage and support Mi'kmaq participation in all aspects of ACPF conservation and recovery,1,,,Medium,All current threats,0,1,0,"2, 4",1
Water Pennywort,Hydrocotyle umbellata,,Vascular Plants,Nova Scotia,Special Concern,Yes,Special Concern,Y,2018,Y,1000000,5,Engage all companies and industries with land immediately adjacent to High priority locations or users of these lands and work with these stakeholders (providing examples of things they could do) to develop stewardship initiatives that reduce or remove High priority threats to ACPF,1,,,High ,"A. 1, 2,4-10, 12-13-; B. 1-6; C. 1-3",0,1,0,"1, 2, 3, 6",1
Water Pennywort,Hydrocotyle umbellata,,Vascular Plants,Nova Scotia,Special Concern,Yes,Special Concern,Y,2018,Y,1000000,5,Engage all cottage associations and OHV clubs at each of the High priority locations and develop appropriate stewardship initiatives,1,,,High ,,0,1,0,Ongoing,1
Water Pennywort,Hydrocotyle umbellata,,Vascular Plants,Nova Scotia,Special Concern,Yes,Special Concern,Y,2018,Y,1000000,5,Ensure collaboration and coordination with other species at risk Recovery Teams with regards to Traditional Ecological Knowledge (TEK) projects,,,1,Medium,,0,1,0,2015-2020,1
Water Pennywort,Hydrocotyle umbellata,,Vascular Plants,Nova Scotia,Special Concern,Yes,Special Concern,Y,2018,Y,1000000,5,Establish an international network to foster cooperation and coordination of conservation and recovery efforts for ACPF throughout their range and organize and host the second international conference on ACPF,,,1,Low,All current threats,0,1,0,"1, 2, 3, 5, 6",1
Water Pennywort,Hydrocotyle umbellata,,Vascular Plants,Nova Scotia,Special Concern,Yes,Special Concern,Y,2018,Y,1000000,5,"Evaluate ecological processes and factors such as natural disturbance regimes, pollination, seed dispersal, and cumulative effects of threats, to determine their impact on how habitat is characterized",,1,,High ,2020,0,1,0,3,1
Water Pennywort,Hydrocotyle umbellata,,Vascular Plants,Nova Scotia,Special Concern,Yes,Special Concern,Y,2018,Y,1000000,5,Evaluate pollination and how a lack of pollination might limit persistence and growth and examine habitat requirements for pollinators,,1,,Medium,2018-2021,0,1,0,,1
Water Pennywort,Hydrocotyle umbellata,,Vascular Plants,Nova Scotia,Special Concern,Yes,Special Concern,Y,2018,Y,1000000,5,Evaluate the appropriateness of designating core habitat protection under the NS Endangered Species Act (NS ESA) and apply where appropriate,,,1,High ,"All except D.2, E.1, and F.1",0,1,0,"2, 5, 2006",1
Water Pennywort,Hydrocotyle umbellata,,Vascular Plants,Nova Scotia,Special Concern,Yes,Special Concern,Y,2018,Y,1000000,5,Evaluate the appropriateness of designating core habitat protection under the NS Endangered Species Act (NS ESA) and apply where appropriate,,,1,High ,"All except D.2, E.1, and F.2",0,1,0,"2, 6, 2006",1
Water Pennywort,Hydrocotyle umbellata,,Vascular Plants,Nova Scotia,Special Concern,Yes,Special Concern,Y,2018,Y,1000000,5,"Examine genetic diversity, particularly between US and NS populations to determine if the NS populations are distinct, whether they are irreplaceable global populations, or if they are similar to the US populations and therefore may serve as a source population for the highly threatened populations in the US",,1,,Low,2020,0,1,0,,1
Water Pennywort,Hydrocotyle umbellata,,Vascular Plants,Nova Scotia,Special Concern,Yes,Special Concern,Y,2018,Y,1000000,5,Expand implementation of the revised and modified volunteer monitoring program that adopts new monitoring protocols,,1,,High ,,0,1,0,Ongoing,1
Water Pennywort,Hydrocotyle umbellata,,Vascular Plants,Nova Scotia,Special Concern,Yes,Special Concern,Y,2018,Y,1000000,5,"Formalize and expand communication networks already established between ACPF researchers on a project-by-project, species-by-species basis within NS [See also Actions 1.5.1 and 3.1.3]",,1,,Low,,0,1,0,2016,1
Water Pennywort,Hydrocotyle umbellata,,Vascular Plants,Nova Scotia,Special Concern,Yes,Special Concern,Y,2018,Y,1000000,5,"Implement species-specific methods for surveying populations and habitats and implement monitoring of threats, particularly water quality, shoreline alterations (i.e. photo inventories and repeat photography), and landuse activities (i.e. wharves, infilling, and sub-divisions) [See also Action 2.1.3 reporting protocols]",,1,,High ,5,0,1,0,,1
Water Pennywort,Hydrocotyle umbellata,,Vascular Plants,Nova Scotia,Special Concern,Yes,Special Concern,Y,2018,Y,1000000,5,"Implement threat monitoring program for water quality, shoreline alterations, and for landuse activities and regularly evaluate its effectiveness",,1,,High,2015-2016,0,1,0,5,1
